study_id,author,year,sample_size,mean_age,sd_age,percent_male,combined_clinical_group,clinical_group,comparison_group,measure_type,belief_type,symptom_subtype,trauma_subtype,psychosis_specificity,suicidal_ideation,effect_size,effect_size_type,effect_size_sd,effect_size_se,ci_lower,ci_upper,p_value,bcss_pos_self_mean,bcss_pos_self_sd,bcss_neg_self_mean,bcss_neg_self_sd,bcss_pos_other_mean,bcss_pos_other_sd,bcss_neg_other_mean,bcss_neg_other_sd,symptom_measure,symptom_score_mean,symptom_score_sd,depression_measure,depression_score_mean,depression_score_sd,notes,ephpp_global_rating,effect_size_r,fishers_z,fishers_z_se,belief_category,symptom_category,trauma_category
2,Addington et al,2013,360,18.98,4.18,58.3,chr,chr,healthy_control,BCSS,negative_self,psychological_bullying,emotional_abuse,NA,NA,0.25,chi_squared,NA,NA,NA,NA,1e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strong,NA,NA,0.05292561240249631,negative_self,NA,emotional_abuse
2,Addington et al,2013,360,18.98,4.18,58.3,chr,chr,healthy_control,BCSS,negative_self,physical_bullying,physical_abuse,NA,NA,0.21,chi_squared,NA,NA,NA,NA,1e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strong,NA,NA,0.05292561240249631,negative_self,NA,physical_abuse
2,Addington et al,2013,360,18.98,4.18,58.3,chr,chr,healthy_control,BCSS,negative_self,emotional_neglect,emotional_neglect,NA,NA,0.21,chi_squared,NA,NA,NA,NA,1e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strong,NA,NA,0.05292561240249631,negative_self,NA,emotional_neglect
2,Addington et al,2013,360,18.98,4.18,58.3,chr,chr,healthy_control,BCSS,negative_self,psychological_abuse,emotional_abuse,NA,NA,0.27,chi_squared,NA,NA,NA,NA,1e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strong,NA,NA,0.05292561240249631,negative_self,NA,emotional_abuse
2,Addington et al,2013,360,18.98,4.18,58.3,chr,chr,healthy_control,BCSS,negative_self,physical_abuse,physical_abuse,NA,NA,0.24,chi_squared,NA,NA,NA,NA,1e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strong,NA,NA,0.05292561240249631,negative_self,NA,physical_abuse
2,Addington et al,2013,360,18.98,4.18,58.3,chr,chr,healthy_control,BCSS,negative_self,sexual_abuse,sexual_abuse,NA,NA,0.14,chi_squared,NA,NA,NA,NA,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strong,NA,NA,0.05292561240249631,negative_self,NA,sexual_abuse
2,Addington et al,2013,360,18.98,4.18,58.3,chr,chr,healthy_control,BCSS,negative_self,total_bullying,total_bullying,NA,NA,0.27,chi_squared,NA,NA,NA,NA,1e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strong,NA,NA,0.05292561240249631,negative_self,NA,NA
2,Addington et al,2013,360,18.98,4.18,58.3,chr,chr,healthy_control,BCSS,negative_self,total_trauma,total_trauma,NA,NA,0.33,chi_squared,NA,NA,NA,NA,1e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strong,NA,NA,0.05292561240249631,negative_self,NA,NA
2,Addington et al,2013,360,18.98,4.18,58.3,chr,chr,healthy_control,BCSS,negative_other,psychological_bullying,emotional_abuse,NA,NA,0.24,chi_squared,NA,NA,NA,NA,1e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strong,NA,NA,0.05292561240249631,negative_other,NA,emotional_abuse
2,Addington et al,2013,360,18.98,4.18,58.3,chr,chr,healthy_control,BCSS,negative_other,physical_bullying,physical_abuse,NA,NA,0.19,chi_squared,NA,NA,NA,NA,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strong,NA,NA,0.05292561240249631,negative_other,NA,physical_abuse
2,Addington et al,2013,360,18.98,4.18,58.3,chr,chr,healthy_control,BCSS,negative_other,emotional_neglect,emotional_neglect,NA,NA,0.17,chi_squared,NA,NA,NA,NA,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strong,NA,NA,0.05292561240249631,negative_other,NA,emotional_neglect
2,Addington et al,2013,360,18.98,4.18,58.3,chr,chr,healthy_control,BCSS,negative_other,psychological_abuse,emotional_abuse,NA,NA,0.13,chi_squared,NA,NA,NA,NA,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strong,NA,NA,0.05292561240249631,negative_other,NA,emotional_abuse
2,Addington et al,2013,360,18.98,4.18,58.3,chr,chr,healthy_control,BCSS,negative_other,physical_abuse,physical_abuse,NA,NA,0.13,chi_squared,NA,NA,NA,NA,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strong,NA,NA,0.05292561240249631,negative_other,NA,physical_abuse
2,Addington et al,2013,360,18.98,4.18,58.3,chr,chr,healthy_control,BCSS,negative_other,sexual_abuse,sexual_abuse,NA,NA,0.13,chi_squared,NA,NA,NA,NA,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strong,NA,NA,0.05292561240249631,negative_other,NA,sexual_abuse
2,Addington et al,2013,360,18.98,4.18,58.3,chr,chr,healthy_control,BCSS,negative_other,total_bullying,total_bullying,NA,NA,0.27,chi_squared,NA,NA,NA,NA,1e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strong,NA,NA,0.05292561240249631,negative_other,NA,NA
2,Addington et al,2013,360,18.98,4.18,58.3,chr,chr,healthy_control,BCSS,negative_other,total_trauma,total_trauma,NA,NA,0.28,chi_squared,NA,NA,NA,NA,1e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strong,NA,NA,0.05292561240249631,negative_other,NA,NA
3,Anilmis et al,2015,94,11.2,1.9,59.57,chr,UED_childhood,NA,BCSS,negative_self,unusual_experiences,NA,APS,NA,0.51,spearman_r,NA,NA,NA,NA,0.001,NA,NA,NA,NA,NA,NA,NA,NA,UEQ,NA,NA,NA,NA,NA,NA,Strong,0.51,0.5627297693521489,0.10482848367219183,negative_self,NA,NA
3,Anilmis et al,2015,94,11.2,1.9,59.57,chr,UED_childhood,NA,BCSS,negative_other,unusual_experiences,NA,APS,NA,0.43,spearman_r,NA,NA,NA,NA,0.001,NA,NA,NA,NA,NA,NA,NA,NA,UEQ,NA,NA,NA,NA,NA,NA,Strong,0.43,0.4598966812126785,0.10482848367219183,negative_other,NA,NA
4,Appiah-Kusi et al,2017,30,23.93,4.78,53.3,chr,UHR,healthy_control,BCSS,negative_self,NA,NA,NA,NA,1.19,odds_ratio,NA,NA,1,1.4,0.048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strong,0.09590548467133282,0.09620115994697129,0.19245008972987526,negative_self,NA,NA
4,Appiah-Kusi et al,2017,38,26.14,4.69,47.4,healthy_control,NA,healthy_control,BCSS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strong,NA,NA,0.1690308509457033,NA,NA,NA
5,Ashford et al,2012,135,19.8,NA,9,non_clinical_ples,non_clinical,NA,BCSS,negative_self,persecution,NA,suspiciousness,NA,0.45,pearsons_r,NA,NA,NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,0.45,0.48470027859405174,0.08703882797784893,negative_self,persecutory,NA
5,Ashford et al,2012,135,19.8,NA,9,non_clinical_ples,non_clinical,NA,BCSS,negative_other,persecution,NA,suspiciousness,NA,0.44,pearsons_r,NA,NA,NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,0.44,0.47223080442042564,0.08703882797784893,negative_other,persecutory,NA
6,Azadi et al,2019,82,34.78,9.1,41.5,psychosis,SZ,NA,YSQ_SF,emotional_deprivation,suicidal_ideation_controlling_for_depression,NA,NA,suicidal_ideation,0.32,pearsons_r,NA,NA,NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strong,0.32,0.33164710870513214,0.1125087900926024,negative_self,NA,NA
6,Azadi et al,2019,82,34.78,9.1,41.5,psychosis,SZ,NA,YSQ_SF,abandonment,suicidal_ideation_controlling_for_depression,NA,NA,suicidal_ideation,0.25,pearsons_r,NA,NA,NA,NA,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strong,0.25,0.25541281188299536,0.1125087900926024,negative_other,NA,NA
6,Azadi et al,2019,82,34.78,9.1,41.5,psychosis,SZ,NA,YSQ_SF,mistrust_abuse,suicidal_ideation_controlling_for_depression,NA,NA,suicidal_ideation,0.25,pearsons_r,NA,NA,NA,NA,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strong,0.25,0.25541281188299536,0.1125087900926024,negative_other,NA,NA
6,Azadi et al,2019,82,34.78,9.1,41.5,psychosis,SZ,NA,YSQ_SF,social_isolation,suicidal_ideation_controlling_for_depression,NA,NA,suicidal_ideation,0.27,pearsons_r,NA,NA,NA,NA,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strong,0.27,0.27686382265510007,0.1125087900926024,negative_other,NA,NA
6,Azadi et al,2019,82,34.78,9.1,41.5,psychosis,SZ,NA,YSQ_SF,defectiveness,suicidal_ideation_controlling_for_depression,NA,NA,suicidal_ideation,0.27,pearsons_r,NA,NA,NA,NA,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strong,0.27,0.27686382265510007,0.1125087900926024,negative_self,NA,NA
7,Barnes et al,2023,171,42.2,10.9,62,psychosis,SZ,NA,BCSS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.7,5.9,NA,NA,11.2,6.9,NA,NA,NA,NA,NA,NA,NA,Strong,NA,NA,0.07715167498104596,NA,NA,NA
8,Barrantes-Vidal et al,2013,214,21.4,2.4,22,non_clinical_ples,non_clinical,NA,BCSS,negative_self,positive_schizotypy,NA,positive_schizoptypy,NA,0.226,NA,NA,NA,NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strong,NA,NA,0.06884283908215143,negative_self,NA,NA
8,Barrantes-Vidal et al,2013,214,21.4,2.4,22,non_clinical_ples,non_clinical,NA,BCSS,negative_other,positive_schizotypy,NA,positive_schizoptypy,NA,0.416,NA,NA,NA,NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strong,NA,NA,0.06884283908215143,negative_other,NA,NA
9,Bird et al,2017,34,14.9,1.25,17.65,chr,ARMS,NA,BCSS,negative_self_&_negative_other,paranoia_baseline_GPTS,NA,suspiciousness,NA,0.51,spearmans_r,NA,NA,NA,NA,0.002,NA,NA,NA,NA,NA,NA,NA,NA,GPTS,NA,NA,NA,NA,NA,NA,Strong,0.51,0.5627297693521489,0.1796053020267749,negative_self,persecutory,NA
9,Bird et al,2017,34,14.9,1.25,17.65,chr,ARMS,NA,BCSS,negative_self_&_negative_other,paranoia_follow_up_GPTS,NA,suspiciousness,NA,0.57,spearmans_r,NA,NA,NA,NA,0.001,NA,NA,NA,NA,NA,NA,NA,NA,GPTS,NA,NA,NA,NA,NA,NA,Strong,0.57,0.6475228448273728,0.1796053020267749,negative_self,persecutory,NA
10,Bortolon et al,2013,48,37.04,10.28,32,psychosis,SZ,healthy_control,YSQ_SF,abandonment,NA,NA,NA,NA,0.146,NA,NA,NA,-6.03,-1.33,0.002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strong,NA,NA,0.14907119849998599,negative_other,NA,NA
10,Bortolon et al,2013,44,36.95,13.42,28,healthy_control,NA,healthy_control,YSQ_SF,abandonment,NA,NA,NA,NA,NA,NA,NA,NA,-6.03,-1.33,0.002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strong,NA,NA,0.15617376188860607,negative_other,NA,NA
10,Bortolon et al,2013,48,37.04,10.28,32,psychosis,SZ,healthy_control,YSQ_SF,mistrust/abuse,NA,NA,NA,NA,NA,NA,NA,NA,-4.26,-0.52,0.013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strong,NA,NA,0.14907119849998599,negative_other,NA,NA
10,Bortolon et al,2013,44,36.95,13.42,28,healthy_control,NA,healthy_control,YSQ_SF,mistrust/abuse,NA,NA,NA,NA,NA,NA,NA,NA,-4.26,-0.52,0.013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strong,NA,NA,0.15617376188860607,negative_other,NA,NA
10,Bortolon et al,2013,48,37.04,10.28,32,psychosis,SZ,healthy_control,YSQ_SF,emotional_deprivation,NA,NA,NA,NA,0.146,eta_squared,NA,NA,-7.67,-3.65,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strong,0.382099463490856,0.402515736040525,0.14907119849998599,negative_self,NA,NA
10,Bortolon et al,2013,44,36.95,13.42,28,healthy_control,NA,healthy_control,YSQ_SF,emotional_deprivation,NA,NA,NA,NA,0.146,eta_squared,NA,NA,-7.67,-3.65,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strong,0.382099463490856,0.402515736040525,0.15617376188860607,negative_self,NA,NA
10,Bortolon et al,2013,48,37.04,10.28,32,psychosis,SZ,healthy_control,YSQ_SF,social_isolation,NA,NA,NA,NA,0.068,eta_squared,NA,NA,-7.96,-3.02,0.013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strong,0.260768096208106,0.26693236754611954,0.14907119849998599,negative_other,NA,NA
10,Bortolon et al,2013,44,36.95,13.42,28,healthy_control,NA,healthy_control,YSQ_SF,social_isolation,NA,NA,NA,NA,0.068,eta_squared,NA,NA,-7.96,-3.02,0.013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strong,0.260768096208106,0.26693236754611954,0.15617376188860607,negative_other,NA,NA
10,Bortolon et al,2013,48,37.04,10.28,32,psychosis,SZ,healthy_control,YSQ_SF,defectiveness/shame,NA,NA,NA,NA,0.089,eta_squared,NA,NA,-7.3,-2.93,0.004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strong,0.29832867780352595,0.30768399573534133,0.14907119849998599,negative_self,NA,NA
10,Bortolon et al,2013,44,36.95,13.42,28,healthy_control,NA,healthy_control,YSQ_SF,defectiveness/shame,NA,NA,NA,NA,0.089,eta_squared,NA,NA,-7.3,-2.93,0.004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strong,0.29832867780352595,0.30768399573534133,0.15617376188860607,negative_self,NA,NA
10,Bortolon et al,2013,48,37.04,10.28,32,psychosis,SZ,healthy_control,YSQ_SF,dependence/Incompetence,NA,NA,NA,NA,NA,NA,NA,NA,-3.73,-1.28,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strong,NA,NA,0.14907119849998599,NA,NA,NA
10,Bortolon et al,2013,44,36.95,13.42,28,healthy_control,NA,healthy_control,YSQ_SF,dependence/incompetence,NA,NA,NA,NA,NA,NA,NA,NA,-3.73,-1.28,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strong,NA,NA,0.15617376188860607,negative_self,NA,NA
10,Bortolon et al,2013,48,37.04,10.28,32,psychosis,SZ,healthy_control,YSQ_SF,vulnerability_to_harm,NA,NA,NA,NA,NA,NA,NA,NA,-4.99,-1.22,0.002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strong,NA,NA,0.14907119849998599,NA,NA,NA
10,Bortolon et al,2013,44,36.95,13.42,28,healthy_control,NA,healthy_control,YSQ_SF,vulnerability_to_harm,NA,NA,NA,NA,NA,NA,NA,NA,-4.99,-1.22,0.002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strong,NA,NA,0.15617376188860607,NA,NA,NA
10,Bortolon et al,2013,48,37.04,10.28,32,psychosis,SZ,healthy_control,YSQ_SF,enmeshment,NA,NA,NA,NA,0.072,eta_squared,NA,NA,-6.89,-2.98,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strong,0.2683281572999748,0.2750613947627558,0.14907119849998599,NA,NA,NA
10,Bortolon et al,2013,44,36.95,13.42,28,healthy_control,NA,healthy_control,YSQ_SF,enmeshment,NA,NA,NA,NA,0.072,eta_squared,NA,NA,-6.89,-2.98,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strong,0.2683281572999748,0.2750613947627558,0.15617376188860607,NA,NA,NA
10,Bortolon et al,2013,48,37.04,10.28,32,psychosis,SZ,healthy_control,YSQ_SF,failure,NA,NA,NA,NA,0.086,eta_squared,NA,NA,-7.16,-2.92,0.006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strong,0.29325756597230357,0.30212663400390877,0.14907119849998599,negative_self,NA,NA
10,Bortolon et al,2013,44,36.95,13.42,28,healthy_control,NA,healthy_control,YSQ_SF,failure,NA,NA,NA,NA,0.086,eta_squared,NA,NA,-7.16,-2.92,0.006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strong,0.29325756597230357,0.30212663400390877,0.15617376188860607,negative_self,NA,NA
10,Bortolon et al,2013,48,37.04,10.28,32,psychosis,SZ,healthy_control,YSQ_SF,impaired_limits,NA,NA,NA,NA,NA,NA,NA,NA,-6.84,-0.44,0.026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strong,NA,NA,0.14907119849998599,NA,NA,NA
10,Bortolon et al,2013,44,36.95,13.42,28,healthy_control,NA,healthy_control,YSQ_SF,impaired_limits,NA,NA,NA,NA,NA,NA,NA,NA,-6.84,-0.44,0.026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strong,NA,NA,0.15617376188860607,NA,NA,NA
10,Bortolon et al,2013,48,37.04,10.28,32,psychosis,SZ,healthy_control,YSQ_SF,subjugation,NA,NA,NA,NA,0.086,eta_squared,NA,NA,-8.06,-3.48,0.005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strong,0.29325756597230357,0.30212663400390877,0.14907119849998599,NA,NA,NA
10,Bortolon et al,2013,44,36.95,13.42,28,healthy_control,NA,healthy_control,YSQ_SF,subjugation,NA,NA,NA,NA,0.086,eta_squared,NA,NA,-8.06,-3.48,0.005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strong,0.29325756597230357,0.30212663400390877,0.15617376188860607,NA,NA,NA
10,Bortolon et al,2013,48,37.04,10.28,32,psychosis,SZ,healthy_control,YSQ_SF,self_sacrifice,NA,NA,NA,NA,NA,NA,NA,NA,-4.14,-0.69,0.159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strong,NA,NA,0.14907119849998599,NA,NA,NA
10,Bortolon et al,2013,44,36.95,13.42,28,healthy_control,NA,healthy_control,YSQ_SF,self_sacrifice,NA,NA,NA,NA,NA,NA,NA,NA,-4.14,-0.69,0.159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strong,NA,NA,0.15617376188860607,NA,NA,NA
10,Bortolon et al,2013,48,37.04,10.28,32,psychosis,SZ,healthy_control,YSQ_SF,unrelenting_standards,NA,NA,NA,NA,NA,NA,NA,NA,-1.78,-2.29,0.804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strong,NA,NA,0.14907119849998599,NA,NA,NA
10,Bortolon et al,2013,44,36.95,13.42,28,healthy_control,NA,healthy_control,YSQ_SF,unrelenting_standards,NA,NA,NA,NA,NA,NA,NA,NA,-1.78,-2.29,0.804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strong,NA,NA,0.15617376188860607,NA,NA,NA
10,Bortolon et al,2013,48,37.04,10.28,32,psychosis,SZ,healthy_control,YSQ_SF,emotional_inhibition,NA,NA,NA,NA,NA,NA,NA,NA,-4.3,-0.79,0.005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strong,NA,NA,0.14907119849998599,NA,NA,NA
10,Bortolon et al,2013,44,36.95,13.42,28,healthy_control,NA,healthy_control,YSQ_SF,emotional_inhibition,NA,NA,NA,NA,NA,NA,NA,NA,-4.3,-0.79,0.005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strong,NA,NA,0.15617376188860607,NA,NA,NA
11,Bortolon et al,2017,425,36.23,15.2,20.9,non_clinical_ples,non_clinical,NA,YSQ_SF,subjugation,auditory_halluciations_proneness_LSHS-R,NA,AH_proneness,NA,0.157,beta_indirect_effect,0.032,NA,NA,NA,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strong,NA,NA,0.04867923835112355,NA,NA,NA
11,Bortolon et al,2017,425,36.23,15.2,20.9,non_clinical_ples,non_clinical,NA,YSQ_SF,vulnerability_to_harm,auditory_halluciations_proneness_LSHS-R,NA,AH_proneness,NA,0.103,beta_indirect_effect,0.028,NA,NA,NA,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strong,NA,NA,0.04867923835112355,NA,NA,NA
11,Bortolon et al,2017,425,36.23,15.2,20.9,non_clinical_ples,non_clinical,NA,YSQ_SF,abandonment,auditory_halluciations_proneness_LSHS-R,NA,AH_proneness,NA,0.137,beta_total_effect,0.044,NA,NA,NA,0.002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strong,NA,NA,0.04867923835112355,negative_other,NA,NA
11,Bortolon et al,2017,425,36.23,15.2,20.9,non_clinical_ples,non_clinical,NA,YSQ_SF,subjugation,auditory_halluciations_proneness_LSHS-R,NA,AH_proneness,NA,0.157,beta_total_effect,0.032,NA,NA,NA,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strong,NA,NA,0.04867923835112355,NA,NA,NA
11,Bortolon et al,2017,425,36.23,15.2,20.9,non_clinical_ples,non_clinical,NA,YSQ_SF,vulnerability_to_harm,auditory_halluciations_proneness_LSHS-R,NA,AH_proneness,NA,0.103,beta_total_effect,0.028,NA,NA,NA,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strong,NA,NA,0.04867923835112355,NA,NA,NA
